dataset,run_no,edge_h,aff_h,beta,metric_name,metric_value
Amazon-ratings,0,0.3800,0.5740,1.0523,AUC,0.8810
Amazon-ratings,1,0.3800,0.5791,1.0518,AUC,0.8839
Amazon-ratings,2,0.3800,0.5736,1.0565,AUC,0.8832
Amazon-ratings,3,0.3800,0.5722,1.0577,AUC,0.8706
Amazon-ratings,4,0.3800,0.5702,1.0545,AUC,0.8801
Amazon-ratings,5,0.3800,0.5704,1.0526,AUC,0.8494
Amazon-ratings,6,0.3800,0.5693,1.0538,AUC,0.8813
Amazon-ratings,7,0.3800,0.5787,1.0529,AUC,0.8832
Amazon-ratings,8,0.3800,0.5708,1.0535,AUC,0.8802
Amazon-ratings,9,0.3800,0.5710,1.0547,AUC,0.8700
Roman-empire,0,0.0500,0.3726,2.0352,AUC,0.8669
Roman-empire,1,0.0500,0.3711,2.0543,AUC,0.8857
Roman-empire,2,0.0500,0.3601,2.0442,AUC,0.8602
Roman-empire,3,0.0500,0.3687,2.0392,AUC,0.8631
Roman-empire,4,0.0500,0.3799,2.0261,AUC,0.8538
Roman-empire,5,0.0500,0.3823,2.0421,AUC,0.8674
Roman-empire,6,0.0500,0.3865,2.0447,AUC,0.8520
Roman-empire,7,0.0500,0.3687,2.0479,AUC,0.8353
Roman-empire,8,0.0500,0.3786,2.0427,AUC,0.8538
Roman-empire,9,0.0500,0.3801,2.0488,AUC,0.8535
Questions,0,0.8400,0.2889,2.3703,AUC,0.9538
Questions,1,0.8400,0.2857,2.3505,AUC,0.9541
Questions,2,0.8400,0.2863,2.3708,AUC,0.9479
Questions,3,0.8400,0.3011,2.3888,AUC,0.9360
Questions,4,0.8400,0.2981,2.3872,AUC,0.9316
Questions,5,0.8400,0.3057,2.3791,AUC,0.9416
Questions,6,0.8400,0.2927,2.3603,AUC,0.9567
Questions,7,0.8400,0.2902,2.3540,AUC,0.9476
Questions,8,0.8400,0.2855,2.3816,AUC,0.9528
Questions,9,0.8400,0.2885,2.3658,AUC,0.9686
ogbl-ppa,0,0.0000,0.5125,1.7268,Hits@100,0.9280
ogbl-ppa,1,0.0000,0.5049,1.7218,Hits@100,0.9585
ogbl-ppa,2,0.0000,0.5077,1.7336,Hits@100,0.9698
ogbl-ppa,3,0.0000,0.5055,1.7369,Hits@100,0.9433
ogbl-ppa,4,0.0000,0.5133,1.7312,Hits@100,0.8992
ogbl-ppa,5,0.0000,0.5011,1.7198,Hits@100,0.9251
ogbl-ppa,6,0.0000,0.4943,1.7207,Hits@100,0.9276
ogbl-ppa,7,0.0000,0.5034,1.7185,Hits@100,0.9514
ogbl-ppa,8,0.0000,0.5068,1.7341,Hits@100,0.9309
ogbl-ppa,9,0.0000,0.5012,1.7334,Hits@100,0.9621
ogbl-collab,0,0.0000,0.4655,1.4257,Hits@50,0.9450
ogbl-collab,1,0.0000,0.4577,1.4277,Hits@50,0.8435
ogbl-collab,2,0.0000,0.4664,1.4445,Hits@50,0.9174
ogbl-collab,3,0.0000,0.4685,1.4600,Hits@50,0.9167
ogbl-collab,4,0.0000,0.4637,1.4171,Hits@50,0.8704
ogbl-collab,5,0.0000,0.4636,1.4108,Hits@50,0.8846
ogbl-collab,6,0.0000,0.4667,1.4212,Hits@50,0.9259
ogbl-collab,7,0.0000,0.4700,1.3835,Hits@50,0.9787
ogbl-collab,8,0.0000,0.4662,1.4534,Hits@50,0.9167
ogbl-collab,9,0.0000,0.4628,1.4317,Hits@50,0.9074
ogbl-citation2,0,0.0000,0.4964,1.1432,MRR,0.8337
ogbl-citation2,1,0.0000,0.4987,1.1372,MRR,0.6530
ogbl-citation2,2,0.0000,0.4963,1.1493,MRR,0.8336
ogbl-citation2,3,0.0000,0.4967,1.1366,MRR,0.9261
ogbl-citation2,4,0.0000,0.4999,1.1340,MRR,0.8001
ogbl-citation2,5,0.0000,0.4943,1.1528,MRR,0.9231
ogbl-citation2,6,0.0000,0.4955,1.1426,MRR,0.7708
ogbl-citation2,7,0.0000,0.4995,1.1351,MRR,0.7393
ogbl-citation2,8,0.0000,0.4961,1.1376,MRR,0.8178
ogbl-citation2,9,0.0000,0.5014,1.1340,MRR,0.8890
